StartTime: 2020-01-03 12:55:25.884
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:49:08.425	0.7222	-0.0654	0.5137	25.6348	-68.6646	-21.8506	-5.9766	-54.6515	-130.1166	39.6684 
0x50	14:49:08.474	0.7954	-0.0381	0.5044	-12.7563	-63.9648	-5.7983	-5.3394	-58.0243	-130.6879	39.6654 
0x50	14:49:08.523	0.7827	-0.0435	0.4272	23.0103	-60.1196	-3.6011	-4.3561	-61.0510	-130.5176	39.6713 
0x50	14:49:08.591	0.7827	-0.0562	0.3306	-7.2632	-56.8848	10.4980	-5.7788	-64.1876	-129.4629	39.6742 
0x50	14:49:08.621	0.8623	-0.0317	0.3569	-17.0898	-66.1621	-14.5264	-5.7788	-67.5659	-130.3857	39.6742 
0x50	14:49:08.670	0.8662	-0.0073	0.2114	12.2070	-77.6978	-39.0015	-1.9171	-71.6418	-134.8132	39.6684 
0x50	14:49:08.720	0.8657	0.0322	0.2354	-10.8032	-78.4302	-36.1328	3.3069	-75.5914	-140.7294	39.6772 
0x50	14:49:08.767	0.9775	0.0488	0.1938	10.8032	-84.1675	-33.2031	11.4697	-79.4806	-148.6395	39.6860 
0x50	14:49:08.817	0.8394	0.0645	0.0205	19.4092	-96.1914	-57.4341	37.2986	-83.3038	-173.6554	39.6860 
0x50	14:49:08.865	0.9722	0.1563	0.0864	-19.1040	-83.8013	-40.4663	81.8097	-84.9847	141.6302	39.6860 
0x50	14:49:08.914	0.8364	0.1675	-0.1479	10.0098	-67.9932	-34.3018	119.7510	-82.4963	103.7878	39.6831 
0x50	14:49:08.963	0.8887	0.1992	-0.1538	9.0942	-38.6353	-23.1934	128.6060	-80.4199	95.0812	39.6860 
0x50	14:49:09.012	0.8159	0.1479	-0.1685	24.9634	-53.1006	6.9580	140.8502	-78.9752	83.5895	39.6860 
0x50	14:49:09.061	0.8735	0.1802	-0.3052	19.2261	-78.7354	35.4614	157.0331	-75.9485	67.7747	39.6889 
0x50	14:49:09.110	0.8838	0.1216	-0.2656	19.0430	-76.0498	34.6680	168.8763	-73.3392	56.4313	39.6889 
0x50	14:49:09.159	0.7778	0.1016	-0.3853	6.2866	-77.1484	0.6104	173.8257	-69.0985	51.4325	39.7007 
0x50	14:49:09.212	0.8755	0.1201	-0.4224	8.4839	-67.1997	-9.9487	173.5455	-65.8191	51.8060	39.7125 
0x50	14:49:09.256	0.8330	0.1421	-0.4502	10.1318	-79.3457	-9.5215	173.1720	-62.0673	52.6190	39.7125 
0x50	14:49:09.305	0.7261	0.1074	-0.5352	25.5737	-106.9946	-23.9868	173.7268	-57.0905	53.0200	39.7007 
0x50	14:49:09.354	0.6865	0.1279	-0.6074	8.8501	-55.2979	-3.7231	174.6606	-53.8550	52.5146	39.7095 
0x50	14:49:09.403	0.6479	0.0991	-0.6289	11.7798	-53.4058	8.6670	175.6329	-51.2018	51.8555	39.7272 
0x50	14:49:09.501	0.6235	0.0786	-0.6870	19.4092	-40.3442	24.5361	178.0554	-48.8782	49.8120	39.7154 
0x50	14:49:09.550	0.6475	0.0762	-0.6797	4.3945	-11.6577	0.2441	178.9508	-47.8235	49.1254	39.7272 
0x50	14:49:09.612	0.5957	0.0747	-0.7236	1.7700	0.8545	-9.0942	178.4454	-47.6917	49.8065	39.7242 
0x50	14:49:09.648	0.6182	0.0698	-0.7124	8.8501	-4.3945	8.4839	179.2529	-47.3676	49.2902	39.7213 
0x50	14:49:09.696	0.6035	0.0669	-0.6865	0.0000	5.5542	4.3945	179.3903	-47.5214	48.9716	39.7448 
0x50	14:49:09.745	0.6187	0.0581	-0.6812	4.0894	3.6621	8.1787	179.8462	-47.6367	48.4772	39.7331 
0x50	14:49:09.794	0.6299	0.0557	-0.6816	-0.9155	3.4790	-1.7090	179.6210	-47.7081	48.6035	39.7360 
0x50	14:49:09.846	0.6396	0.0586	-0.7183	6.2256	-3.3569	4.3335	179.7858	-47.5598	48.5321	39.7536 
0x50	14:49:09.892	0.6294	0.0464	-0.6895	6.5918	-4.1504	6.2866	-179.6265	-47.2522	48.0652	39.7536 
0x50	14:49:09.925	0.6094	0.0464	-0.7119	-1.0986	4.6387	-1.6479	179.8846	-47.4445	48.3783	39.7625 
0x50	14:49:09.974	0.6396	0.0459	-0.6978	-1.5259	9.7656	6.9580	-179.8901	-47.8290	47.8674	39.7625 
0x50	14:49:10.023	0.6323	0.0806	-0.7046	-10.9863	71.3501	-10.8643	178.8080	-50.5151	48.6914	39.7684 
0x50	14:49:10.072	0.7080	0.0386	-0.6777	-18.7988	86.4258	2.3804	177.8522	-54.6844	48.6749	39.7860 
0x50	14:49:10.121	0.5908	-0.0225	-0.5454	2.1362	130.3101	41.6260	-177.6379	-60.1666	45.8734	39.7801 
0x50	14:49:10.170	0.9551	0.0166	-0.4355	-46.5088	170.1050	-27.5879	174.9023	-68.6426	48.8782	39.7801 
0x50	14:49:10.233	0.6465	0.0444	-0.3359	-2.8687	97.5342	9.7656	174.1718	-72.9657	49.1638	39.7948 
0x50	14:49:10.267	0.9453	-0.0146	-0.3853	-37.1094	119.2017	16.3574	-176.6821	-78.7445	46.6699	39.8066 
0x50	14:49:10.316	1.0459	0.1260	-0.0903	-22.2778	168.7622	-33.6304	130.3748	-84.9023	68.4723	39.8007 
0x50	14:49:10.365	0.8115	0.0928	-0.0215	-10.9863	132.6904	42.2974	36.9031	-89.8462	162.1307	39.7919 
0x50	14:49:10.414	0.8130	0.0703	0.0693	-4.8218	101.5015	-5.9204	9.2340	-85.2759	-130.1770	39.8036 
0x50	14:49:10.463	0.9351	0.0947	0.1904	4.2725	119.1406	-11.4136	6.8170	-79.2279	-127.1338	39.8125 
0x50	14:49:10.511	0.8301	0.1016	0.2485	-3.3569	99.3652	-45.8984	13.7823	-73.3887	-134.1211	39.8213 
0x50	14:49:10.559	0.8872	0.1997	0.4014	4.5166	121.3989	-28.0762	13.9911	-67.0496	-133.8354	39.8272 
0x50	14:49:10.628	0.7910	0.1406	0.4375	-14.3433	30.7617	10.9863	12.2992	-64.7919	-132.3413	39.8242 
0x50	14:49:10.659	0.7534	0.1318	0.4072	-2.5635	69.5190	34.6680	7.4982	-61.6718	-126.9305	39.8242 
0x50	14:49:10.706	0.7695	0.1304	0.5581	-9.2163	60.0586	-1.3428	6.1798	-58.2440	-125.6781	39.8478 
0x50	14:49:10.755	0.7690	0.1196	0.6177	-30.0903	62.4390	31.6162	1.9336	-55.1733	-122.2284	39.8184 
0x50	14:49:10.804	0.7388	0.0786	0.6787	0.1831	21.8506	47.2412	-1.7743	-53.0475	-118.4491	39.8419 
0x50	14:49:10.854	0.6035	0.0269	0.6401	12.8784	59.5703	27.8320	-2.6917	-49.8724	-116.3507	39.8389 
0x50	14:49:10.902	0.6411	0.0376	0.7275	3.7231	54.1382	24.7803	-4.0814	-46.6809	-114.2743	39.8448 
0x50	14:49:10.951	0.5420	-0.0200	0.7095	15.6250	57.6782	57.1289	-5.9216	-43.4399	-110.5115	39.8507 
0x50	14:49:11.001	0.5967	0.0405	0.9106	39.7339	109.7412	36.4380	-5.7843	-38.9301	-108.6218	39.8389 
0x50	14:49:11.097	0.3794	-0.0254	0.7290	42.5415	102.8442	33.2642	-4.4934	-33.5028	-107.1497	39.8389 
0x50	14:49:11.147	0.4717	0.0103	1.0259	50.2930	80.7495	-115.4175	-0.2417	-29.5642	-111.7694	39.8448 
