StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:22:47.562	0.0005	-0.1191	0.9688	0.3052	3.5400	3.2349	-7.0862	-0.8899	0.9723	37.8506 
0x50	16:22:47.609	-0.0332	-0.1182	0.9639	-1.2207	-12.4512	1.8921	-7.0862	-1.2140	0.9723	37.8477 
0x50	16:22:47.658	0.0225	-0.1323	1.0439	1.0376	5.6152	3.9063	-7.0367	-0.9174	1.1316	37.8389 
0x50	16:22:47.713	-0.0103	-0.1255	0.9834	3.6621	12.5122	4.6387	-6.8829	-0.5878	1.3293	37.8536 
0x50	16:22:47.756	0.0107	-0.1021	1.0181	3.9063	-9.5215	2.3193	-6.6687	-1.0437	1.4996	37.8506 
0x50	16:22:47.805	0.0693	-0.1494	1.0581	5.9814	18.3716	12.6953	-6.4105	-0.0439	1.9666	37.8418 
0x50	16:22:47.854	-0.0176	-0.0981	0.9531	2.9907	-6.4087	2.1973	-6.2567	-0.3241	2.1094	37.8448 
0x50	16:22:47.906	0.0420	-0.1499	1.0381	5.2490	-3.6621	2.0142	-5.9766	-0.0549	2.3621	37.8477 
0x50	16:22:47.952	-0.0400	-0.0845	1.0005	6.4087	12.5122	6.6528	-5.6360	0.6372	2.6257	37.8271 
0x50	16:22:48.000	-0.0820	-0.0767	0.9419	4.1504	-1.1597	1.4648	-5.4327	0.2802	2.7136	37.8300 
0x50	16:22:48.051	0.0005	-0.1045	1.0059	0.1831	9.2773	3.4790	-5.4327	0.7416	2.8455	37.8300 
0x50	16:22:48.107	-0.0298	-0.0845	0.9844	1.8311	-4.1504	-0.6104	-5.4053	0.4559	2.8180	37.8389 
0x50	16:22:48.147	-0.0400	-0.1001	0.9746	-2.0142	0.0000	4.0283	-5.5096	0.5164	3.0212	37.8242 
0x50	16:22:48.244	0.0093	-0.1079	1.0229	5.9204	8.1177	6.6528	-5.3064	0.9338	3.2190	37.8300 
0x50	16:22:48.299	-0.0239	-0.0889	0.9717	0.4272	-7.2632	0.2441	-5.2844	0.5878	3.2629	37.8418 
0x50	16:22:48.342	0.0210	-0.0986	1.0513	5.0049	0.0000	5.1270	-5.0208	0.9833	3.4497	37.8389 
0x50	16:22:48.391	-0.0786	-0.0884	0.9644	1.7700	3.1128	4.2725	-4.9329	1.2250	3.6475	37.8212 
0x50	16:22:48.441	-0.0229	-0.0903	0.9844	0.1831	-5.2490	-0.6714	-4.8889	1.1261	3.7134	37.8242 
0x50	16:22:48.489	-0.0176	-0.0771	1.0371	4.5166	7.5684	4.5776	-4.6472	1.5106	3.9111	37.8271 
0x50	16:22:48.538	-0.0352	-0.0957	0.9810	-0.9155	-0.8545	1.6479	-4.6527	1.4996	3.9496	37.8242 
