StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:30:15.929	-0.6855	0.0239	1.1812	0.0000	0.0000	-0.3052	1.9666	29.6796	32.7832	37.2153 
0x50	16:30:15.980	-0.6558	0.0229	1.2036	-1.5869	-0.2441	2.0752	1.9281	29.6411	32.9041	37.2153 
0x50	16:30:16.027	-0.6504	0.0142	1.2065	0.0000	-0.9766	-0.9766	1.8896	29.5697	32.8271	37.2065 
0x50	16:30:16.096	-0.6880	0.0435	1.1885	1.2817	0.0000	-0.6104	1.9391	29.5807	32.7942	37.2153 
0x50	16:30:16.125	-0.6631	0.0303	1.1914	0.0000	0.4272	0.0000	1.9336	29.5697	32.7942	37.2124 
0x50	16:30:16.173	-0.6641	0.0283	1.2046	1.5259	-0.3662	0.5493	2.0105	29.5367	32.8271	37.2036 
0x50	16:30:16.227	-0.6626	0.0244	1.2026	-0.3052	0.0000	1.2207	2.0105	29.5367	32.8821	37.2153 
0x50	16:30:16.297	-0.6709	0.0317	1.1890	-0.4272	0.2441	1.0986	2.0105	29.5477	32.9480	37.2153 
0x50	16:30:16.305	-0.6597	0.0361	1.1934	3.0518	1.1597	0.0000	2.0544	29.5587	32.9755	37.2153 
0x50	16:30:16.354	-0.6470	0.0068	1.2002	-0.6104	-1.0986	-0.3052	1.9775	29.4818	32.9535	37.1918 
0x50	16:30:16.402	-0.6597	0.0400	1.1899	1.2817	0.4883	-0.3052	1.9830	29.4873	32.8986	37.2065 
0x50	16:30:16.490	-0.6646	0.0137	1.2041	-1.3428	0.0000	-1.3428	1.8512	29.4818	32.8217	37.1888 
0x50	16:30:16.500	-0.6597	0.0327	1.1948	0.7324	-0.3052	0.7324	1.9281	29.4598	32.8491	37.2124 
0x50	16:30:16.549	-0.6758	0.0190	1.2070	2.4414	-1.5869	-2.2583	1.9666	29.3829	32.7173	37.2036 
0x50	16:30:16.605	-0.6553	0.0488	1.2139	-2.2583	0.3662	1.1597	1.8732	29.3774	32.7942	37.2006 
0x50	16:30:16.679	-0.6548	0.0342	1.1831	3.8452	-0.7324	-1.1597	2.0270	29.3335	32.7283	37.1977 
0x50	16:30:16.696	-0.6772	0.0283	1.1948	-0.6714	0.0000	2.3804	2.0160	29.3500	32.8162	37.2036 
0x50	16:30:16.745	-0.6362	0.0181	1.1768	-1.5259	1.2817	-1.8311	1.8677	29.3939	32.7118	37.2006 
0x50	16:30:16.793	-0.6694	0.0391	1.1724	0.6104	-0.7324	0.7324	1.9611	29.3774	32.7338	37.1859 
0x50	16:30:16.842	-0.6294	0.0229	1.2490	2.1973	0.7935	2.3193	2.1204	29.3610	32.8711	37.2065 
0x50	16:30:16.922	-0.6724	0.0361	1.2017	-2.1973	1.0376	-0.5493	2.0984	29.3774	32.8436	37.1947 
0x50	16:30:16.940	-0.6523	0.0381	1.1934	-1.4648	0.7935	2.0142	2.0819	29.3939	32.9645	37.1859 
0x50	16:30:16.989	-0.6724	0.0229	1.1865	3.5400	-1.2817	-1.1597	2.2247	29.3225	32.8876	37.1859 
0x50	16:30:17.040	-0.6655	0.0449	1.2056	-1.2207	1.1597	0.0000	2.1643	29.3719	32.8876	37.2036 
0x50	16:30:17.120	-0.6572	0.0391	1.2075	-1.3428	1.2817	-2.8687	2.0105	29.3884	32.7997	37.1830 
0x50	16:30:17.135	-0.6538	0.0352	1.1919	-5.3101	1.8311	4.7607	1.8787	29.4543	33.0798	37.1947 
0x50	16:30:17.184	-0.6650	0.0234	1.1885	3.5400	-1.9531	-5.0659	1.9061	29.3665	32.9315	37.1888 
0x50	16:30:17.234	-0.6523	0.0303	1.2002	-5.2490	2.5024	-4.2725	1.5216	29.4763	32.6898	37.1830 
0x50	16:30:17.315	-0.6646	0.0195	1.1807	-0.3052	-0.6104	1.0986	1.5875	29.3884	32.7502	37.1859 
0x50	16:30:17.331	-0.6455	0.0259	1.2007	-1.2817	1.0376	1.5869	1.5601	29.4159	32.8436	37.1830 
0x50	16:30:17.429	-0.6572	0.0332	1.2090	0.0000	-0.6104	-2.0752	1.5326	29.3939	32.7283	37.1830 
0x50	16:30:17.502	-0.6655	0.0259	1.1719	-0.3052	0.2441	-0.7935	1.5381	29.3445	32.6349	37.2036 
0x50	16:30:17.526	-0.6621	0.0278	1.1885	-0.8545	0.3662	-0.8545	1.5271	29.3610	32.6349	37.1888 
0x50	16:30:17.576	-0.6621	0.0293	1.2310	2.4414	-2.7466	-0.5493	1.5381	29.2676	32.5854	37.1830 
0x50	16:30:17.624	-0.6318	0.0288	1.2290	2.8076	-1.4648	3.4180	1.8127	29.1577	32.8656	37.1977 
