StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:55:11.880	-0.1904	-0.9204	-0.0166	-5.9814	14.4043	-8.1787	-86.8799	6.5204	82.6282	40.0625 
0x50	14:55:11.931	-0.1753	-0.8818	-0.0063	-6.1646	17.3340	-11.6577	-87.4237	6.2183	81.7273	40.0595 
0x50	14:55:11.984	-0.1631	-0.9463	0.0024	-8.3618	16.4795	-18.0054	-87.9730	5.4327	80.8594	40.0625 
0x50	14:55:12.030	-0.1611	-0.8936	-0.0449	-14.6484	16.7847	-4.8828	-89.0497	5.4822	79.9805	40.0595 
0x50	14:55:12.080	-0.1563	-0.8813	-0.0498	-16.9067	37.7197	3.6011	-90.1483	5.7733	78.0853	40.0507 
0x50	14:55:12.129	-0.1460	-0.9204	-0.0669	-11.4746	56.5796	-1.8311	-90.9448	5.7349	75.3827	40.0478 
0x50	14:55:12.179	-0.1367	-0.9307	-0.0518	-14.0381	70.1904	14.8926	-92.0435	6.4490	71.8396	40.0537 
0x50	14:55:12.230	-0.1621	-0.9097	-0.0898	-11.0474	84.5947	-0.7935	-93.1805	6.3062	67.4451	40.0537 
0x50	14:55:12.279	-0.1489	-0.9380	-0.0850	1.4038	106.1401	-10.4980	-93.7024	5.5371	62.1497	40.0595 
0x50	14:55:12.332	-0.1133	-0.9268	-0.1108	-13.2446	88.9282	13.6719	-94.5868	5.6360	57.7496	40.0507 
0x50	14:55:12.379	-0.1250	-0.9082	-0.0547	28.9917	162.7197	-0.4883	-93.9056	5.0372	49.6033	40.0625 
0x50	14:55:12.429	-0.1328	-0.8926	-0.0557	37.1704	194.0308	14.8315	-93.1586	5.2185	39.9353	40.0537 
0x50	14:55:12.479	-0.1074	-0.8921	-0.0820	48.9502	203.3691	-1.0376	-91.6809	4.7131	29.7400	40.0507 
0x50	14:55:12.528	-0.0703	-0.9292	-0.0415	20.9961	114.3188	-35.5225	-90.9558	2.7136	22.9230	40.0625 
0x50	14:55:12.591	-0.0220	-0.9268	-0.0366	-6.1646	70.6787	-22.5830	-91.4337	1.5051	19.4073	40.0595 
0x50	14:55:12.628	-0.0566	-0.9092	0.0161	4.2725	64.3921	-25.0244	-91.1646	0.3790	16.8860	40.0566 
0x50	14:55:12.678	-0.0112	-0.9248	0.0034	17.7002	84.8999	-23.0103	-90.2692	-0.8130	12.6617	40.0507 
0x50	14:55:12.728	0.0103	-0.9253	-0.0107	4.5166	62.1338	1.0376	-90.2362	-0.9393	9.5087	40.0654 
0x50	14:55:12.778	-0.0146	-0.9146	0.0356	24.1089	45.5933	19.7754	-88.9728	0.0714	7.2345	40.0684 
0x50	14:55:12.828	-0.0786	-0.9604	0.0537	18.0664	89.1113	3.6621	-87.9346	0.2911	3.5651	40.0507 
0x50	14:55:12.878	-0.0093	-0.8994	0.0679	36.9263	129.1504	-5.7373	-86.1053	0.2966	-2.8949	40.0537 
0x50	14:55:12.928	-0.0571	-0.9175	0.0903	-1.5869	73.4863	-0.6714	-85.9021	0.3955	-6.6248	40.0537 
0x50	14:55:12.980	-0.0005	-0.9116	0.0874	-4.6997	36.1328	11.0474	-86.1218	1.0547	-8.3881	40.0507 
0x50	14:55:13.028	-0.0464	-0.9150	0.1021	1.8921	-18.9209	-19.8975	-86.0504	0.0110	-7.7124	40.0507 
0x50	14:55:13.080	-0.0205	-0.8853	0.0806	-1.5869	-6.5918	-2.0142	-86.1053	-0.0769	-7.3883	40.0566 
0x50	14:55:13.128	-0.0210	-0.9243	0.1035	0.8545	-30.9448	-5.8594	-85.8032	-0.7416	-6.0919	40.0507 
0x50	14:55:13.177	-0.0723	-0.8950	0.1255	-8.2397	-20.4468	46.2036	-86.1383	1.5601	-4.9109	40.0478 
0x50	14:55:13.227	-0.0928	-0.9053	0.1118	4.6387	8.4229	41.0767	-85.7318	3.6694	-5.1251	40.0507 
0x50	14:55:13.277	-0.1294	-0.8926	0.1074	17.1509	15.7471	54.5654	-84.8804	6.5039	-5.6964	40.0566 
0x50	14:55:13.327	-0.1631	-0.9634	0.1445	12.8174	24.6582	40.3442	-84.2816	8.6462	-6.8555	40.0566 
0x50	14:55:13.377	-0.1641	-0.9043	0.1113	-14.4653	0.0000	20.9351	-84.9518	9.7009	-6.7511	40.0448 
0x50	14:55:13.427	-0.1885	-0.8809	0.1011	-3.0518	-10.0708	-13.1836	-84.8639	9.3494	-6.2952	40.0537 
0x50	14:55:13.477	-0.1724	-0.8809	0.1089	0.0000	-19.5923	-40.1611	-84.7046	7.3224	-5.4932	40.0537 
