StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:54:23.334	-0.0454	-0.8696	-0.1333	13.3667	-3.4790	-8.5449	-94.8065	2.5653	-13.0737	40.5801 
0x50	14:54:23.384	-0.0532	-0.9336	-0.1309	19.3481	-4.6387	-10.4980	-94.0045	2.0929	-12.8156	40.5860 
0x50	14:54:23.434	-0.0322	-0.9048	-0.1040	14.4043	-1.7090	-5.7983	-93.4552	1.8182	-12.8265	40.5860 
0x50	14:54:23.484	-0.0273	-0.9224	-0.0830	40.5273	8.3008	0.9766	-91.5216	1.8512	-13.2385	40.5860 
0x50	14:54:23.535	-0.0371	-0.8940	-0.0503	48.8892	-2.1973	-1.7090	-89.3298	1.7963	-13.1726	40.5890 
0x50	14:54:23.583	-0.0220	-0.9126	-0.0049	45.8374	6.0425	-2.0752	-86.8469	1.6150	-13.4967	40.5978 
0x50	14:54:23.633	-0.0186	-0.9219	0.0562	47.1802	-0.3662	12.2681	-84.3201	1.7468	-13.4747	40.6037 
0x50	14:54:23.683	-0.0962	-0.9907	0.0781	70.0684	-46.0815	0.4883	-81.0791	1.9391	-10.9753	40.6037 
0x50	14:54:23.733	-0.0483	-0.9004	0.1582	64.0869	2.0142	-2.5635	-77.9315	2.0270	-10.7391	40.5978 
0x50	14:54:23.783	-0.0801	-0.9082	0.1851	91.0034	-8.6670	34.4238	-73.7347	3.7244	-9.5581	40.5949 
0x50	14:54:23.848	-0.0981	-0.9443	0.2764	80.0781	29.2969	-0.1831	-69.5215	4.3341	-10.5634	40.5978 
0x50	14:54:23.883	-0.0801	-0.8311	0.3428	87.4634	22.6440	-9.3994	-65.2313	4.1638	-12.2003	40.5978 
0x50	14:54:23.932	-0.0664	-0.8672	0.4238	60.1807	7.9956	4.6997	-61.5674	4.5868	-12.5629	40.5949 
0x50	14:54:23.982	-0.0801	-0.7783	0.4849	69.8853	1.2207	1.1597	-58.0573	4.6747	-12.5848	40.6037 
0x50	14:54:24.033	-0.0835	-0.7944	0.5332	89.6606	9.3994	-18.2495	-53.8879	4.2023	-13.3044	40.5860 
0x50	14:54:24.083	-0.0835	-0.7598	0.5850	93.0786	28.0151	-6.6528	-49.3726	4.7955	-14.6228	40.5919 
0x50	14:54:24.132	-0.0840	-0.6641	0.6362	91.6138	13.6719	-15.6860	-45.1483	4.9219	-15.8038	40.5978 
0x50	14:54:24.182	-0.0747	-0.6724	0.7417	84.7778	-0.1831	-45.3491	-41.0394	3.3508	-17.4298	40.5890 
0x50	14:54:24.241	-0.0454	-0.5718	0.7588	62.5000	-0.7935	-15.0757	-37.5128	2.6367	-18.0835	40.5978 
0x50	14:54:24.282	-0.0420	-0.5088	0.7598	85.2051	6.1646	-11.5967	-33.2721	2.5433	-18.7317	40.5919 
0x50	14:54:24.332	-0.0142	-0.4404	0.8491	105.1025	10.5591	-17.9443	-28.4821	2.6422	-19.8743	40.5978 
0x50	14:54:24.381	-0.0244	-0.3765	0.8809	128.4790	-10.6812	-11.2915	-22.0551	1.8951	-20.1379	40.5919 
0x50	14:54:24.431	-0.0269	-0.2827	0.9268	106.0181	-6.2866	-31.2500	-16.6443	1.1316	-21.2750	40.5890 
0x50	14:54:24.481	-0.0137	-0.2148	0.9565	99.2432	5.1270	8.8501	-11.6730	1.4886	-20.9180	40.6037 
0x50	14:54:24.533	-0.0532	-0.1123	1.0195	73.4863	-1.6479	-0.2441	-7.0697	1.6864	-20.7422	40.5890 
0x50	14:54:24.582	-0.0337	-0.0645	0.9482	49.4995	-1.4038	-21.3623	-4.5978	1.5051	-21.7969	40.5919 
0x50	14:54:24.640	-0.0322	0.0049	1.0078	98.3276	30.7617	10.9863	-0.1263	2.4664	-21.4728	40.5978 
0x50	14:54:24.681	-0.0347	0.1001	0.9634	119.2017	27.5269	0.7324	5.8667	3.8123	-21.4069	40.5860 
0x50	14:54:24.731	-0.0806	0.1919	1.0264	94.4214	11.9019	25.2686	11.1896	3.6475	-20.1324	40.5949 
0x50	14:54:24.781	-0.0645	0.2773	0.9927	100.5859	15.3198	11.1084	16.2762	4.2627	-19.4238	40.5949 
0x50	14:54:24.831	-0.0640	0.3594	0.9644	70.0073	-8.1787	6.1035	20.3522	4.1254	-19.4019	40.5831 
0x50	14:54:24.880	-0.0576	0.4077	0.9683	63.5376	-9.6436	8.3008	23.5437	3.5156	-19.1876	40.6007 
0x50	14:54:24.930	-0.0610	0.4727	0.9282	61.7065	-13.6719	-5.4932	26.6254	2.6917	-19.6490	40.5949 
0x50	14:54:24.980	-0.0552	0.5195	0.8984	94.2383	3.1738	-10.1318	31.3165	3.0652	-20.0281	40.5860 
0x50	14:54:25.031	-0.0410	0.6250	0.8779	95.7031	4.7607	-15.0146	36.3263	3.8123	-20.6433	40.5831 
0x50	14:54:25.084	-0.0645	0.6821	0.8462	80.6885	-21.3013	0.0000	40.3143	2.9663	-21.2860	40.6007 
0x50	14:54:25.129	-0.0435	0.7036	0.8125	47.1802	-4.1504	4.6387	42.6489	2.3676	-21.0498	40.5890 
0x50	14:54:25.180	-0.0200	0.7310	0.8013	36.2549	5.4932	-3.4790	44.4287	2.6532	-20.9894	40.5831 
0x50	14:54:25.230	-0.0190	0.7793	0.7598	44.2505	-5.1880	-1.0376	46.3953	2.6917	-21.2531	40.5978 
0x50	14:54:25.280	-0.0405	0.8003	0.7075	96.2524	-7.5073	5.9204	51.1743	2.2192	-21.3300	40.5949 
