StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:14:07.829	-0.0410	-0.0615	1.0078	0.3662	0.3052	-1.7700	-3.3838	2.3016	88.5498	38.3712 
0x50	16:14:07.907	-0.0288	-0.0625	1.0103	-0.6104	0.0000	1.5259	-3.4058	2.3126	88.5992	38.3742 
0x50	16:14:07.926	-0.0342	-0.0596	1.0117	0.4883	-1.0376	0.0000	-3.3783	2.2522	88.6047	38.3742 
0x50	16:14:07.974	-0.0356	-0.0645	1.0054	-0.1831	-0.3052	0.5493	-3.3893	2.2522	88.6322	38.3801 
0x50	16:14:08.025	-0.0361	-0.0586	1.0122	0.0000	-0.7324	-0.3052	-3.3893	2.2083	88.6212	38.3771 
0x50	16:14:08.110	-0.0444	-0.0654	0.9932	-0.4883	0.7935	0.0000	-3.4003	2.2412	88.5938	38.3801 
0x50	16:14:08.122	-0.0337	-0.0610	1.0151	-0.5493	0.0000	-0.4883	-3.4277	2.2302	88.5718	38.3624 
0x50	16:14:08.171	-0.0293	-0.0659	1.0000	-0.1831	0.0000	0.9155	-3.4277	2.2467	88.5883	38.3624 
0x50	16:14:08.259	-0.0386	-0.0630	1.0098	0.0000	0.7935	-1.0986	-3.4332	2.2797	88.5278	38.3712 
0x50	16:14:08.277	-0.0317	-0.0640	0.9995	0.4272	1.1597	0.7935	-3.4003	2.2906	88.5663	38.3624 
0x50	16:14:08.317	-0.0391	-0.0635	1.0000	-0.5493	-0.3052	0.1831	-3.4332	2.2742	88.5773	38.3712 
0x50	16:14:08.365	-0.0439	-0.0615	1.0103	0.6104	1.7090	-0.9155	-3.4167	2.3126	88.5443	38.3712 
0x50	16:14:08.414	-0.0313	-0.0645	0.9902	0.0000	-1.7090	1.8311	-3.4167	2.2192	88.6432	38.3654 
0x50	16:14:08.516	-0.0381	-0.0566	1.0132	0.4272	0.3052	-1.5259	-3.4113	2.2577	88.5333	38.3595 
0x50	16:14:08.516	-0.0435	-0.0693	0.9927	-0.2441	-1.5869	1.9531	-3.4277	2.1863	88.6322	38.3624 
0x50	16:14:08.561	-0.0327	-0.0557	1.0220	0.3052	0.1831	-0.6714	-3.4332	2.1918	88.5608	38.3565 
0x50	16:14:08.659	-0.0483	-0.0664	0.9976	0.6104	0.0000	0.0000	-3.4113	2.2083	88.5608	38.3683 
0x50	16:14:08.725	-0.0347	-0.0581	1.0122	0.0000	0.4272	-0.3052	-3.4167	2.2028	88.5498	38.3624 
0x50	16:14:08.756	-0.0410	-0.0630	1.0039	0.3052	0.3662	0.0000	-3.4058	2.2247	88.5498	38.3595 
0x50	16:14:08.805	-0.0317	-0.0601	1.0073	0.3052	0.0000	0.0000	-3.3948	2.2083	88.5498	38.3624 
0x50	16:14:08.867	-0.0322	-0.0601	1.0005	0.1831	-0.6714	-0.2441	-3.3838	2.1698	88.5388	38.3742 
0x50	16:14:08.902	-0.0410	-0.0586	1.0039	-0.6714	-1.2207	0.0000	-3.4113	2.0984	88.5498	38.3565 
0x50	16:14:08.952	-0.0376	-0.0635	1.0112	0.0000	0.9155	-0.6104	-3.4167	2.1423	88.5114	38.3389 
0x50	16:14:09.000	-0.0308	-0.0625	1.0078	-0.5493	0.2441	-1.5869	-3.4387	2.1643	88.4399	38.3448 
0x50	16:14:09.049	-0.0479	-0.0610	1.0103	0.2441	0.6104	0.3662	-3.4277	2.2028	88.4564	38.3507 
0x50	16:14:09.113	-0.0308	-0.0640	1.0063	0.2441	0.0000	-0.7935	-3.4167	2.1973	88.4180	38.3595 
0x50	16:14:09.276	-0.0444	-0.0591	1.0083	0.3662	-0.7935	1.1597	-3.3948	2.1698	88.4784	38.3477 
0x50	16:14:09.277	-0.0151	-0.0581	1.0063	-0.2441	0.1831	-0.7324	-3.4003	2.1808	88.4235	38.3477 
0x50	16:14:09.277	-0.0420	-0.0576	1.0054	-0.3662	-2.6855	2.1362	-3.4113	2.0599	88.5388	38.3389 
0x50	16:14:09.278	-0.0327	-0.0635	1.0181	0.0000	-0.4272	-1.2207	-3.4332	2.0764	88.4509	38.3389 
0x50	16:14:09.331	-0.0381	-0.0625	1.0083	0.0000	-0.2441	2.4414	-3.4332	2.0764	88.5773	38.3477 
0x50	16:14:09.376	-0.0337	-0.0640	1.0015	0.0000	0.0000	-1.0376	-3.4222	2.0764	88.5223	38.3418 
0x50	16:14:09.425	-0.0381	-0.0630	1.0098	0.0000	1.8311	1.7090	-3.4222	2.1753	88.5992	38.3359 
0x50	16:14:09.474	-0.0259	-0.0620	0.9995	0.4272	-0.4272	-0.4883	-3.3948	2.1368	88.5883	38.3242 
0x50	16:14:09.522	-0.0439	-0.0654	1.0010	-0.4272	2.5024	-0.3052	-3.4222	2.2632	88.5663	38.3448 
0x50	16:14:09.571	-0.0308	-0.0601	1.0083	0.5493	-0.1831	-0.3662	-3.4003	2.2302	88.5553	38.3389 
0x50	16:14:09.620	-0.0366	-0.0649	1.0005	-0.1831	0.7935	0.0000	-3.4167	2.2687	88.5553	38.3301 
0x50	16:14:09.669	-0.0332	-0.0576	1.0200	0.3662	-0.9766	0.4883	-3.4058	2.2247	88.5663	38.3359 
0x50	16:14:09.718	-0.0298	-0.0664	1.0000	0.0000	2.1362	0.3052	-3.3948	2.2632	88.6212	38.3389 
0x50	16:14:09.766	-0.0347	-0.0586	1.0127	0.3662	1.3428	-1.1597	-3.3838	2.2906	88.5553	38.3389 
0x50	16:14:09.816	-0.0161	-0.0620	1.0063	0.3662	-0.1831	0.7935	-3.3563	2.3071	88.5828	38.3330 
0x50	16:14:09.865	-0.0508	-0.0596	1.0034	0.0000	0.8545	0.0000	-3.3563	2.2906	88.6212	38.3330 
0x50	16:14:09.913	-0.0283	-0.0586	1.0151	0.6104	0.0000	-0.3662	-3.3344	2.3566	88.5608	38.3124 
0x50	16:14:09.963	-0.0449	-0.0620	1.0000	0.0000	0.5493	1.4038	-3.3289	2.3511	88.6377	38.3242 
0x50	16:14:10.012	-0.0293	-0.0571	1.0200	0.6104	0.0000	0.6714	-3.3124	2.3895	88.6707	38.3183 
0x50	16:14:10.064	-0.0464	-0.0566	1.0088	1.2817	0.4883	2.9297	-3.2465	2.4115	88.7805	38.3154 
0x50	16:14:10.109	-0.0269	-0.0664	1.0132	0.8545	4.8218	1.3428	-3.2025	2.6202	88.8574	38.3301 
0x50	16:14:10.159	-0.0322	-0.0464	0.9971	0.4883	-0.4272	3.8452	-3.1476	2.5873	89.0497	38.3242 
0x50	16:14:10.255	-0.0581	-0.0630	0.9858	0.1831	4.0283	0.5493	-3.1201	2.7411	89.0936	38.3095 
0x50	16:14:10.304	-0.0381	-0.0542	1.0342	1.5869	1.9531	0.5493	-3.0762	2.8839	89.0717	38.3242 
0x50	16:14:10.352	-0.0659	-0.0576	1.0098	2.8687	6.7749	3.7231	-2.9388	3.1256	89.2255	38.3212 
0x50	16:14:10.402	-0.0562	-0.0542	0.9844	2.1362	0.3052	3.4790	-2.8070	3.1421	89.3628	38.3154 
0x50	16:14:10.451	-0.0444	-0.0503	1.0103	1.5259	3.9063	1.8921	-2.7301	3.3179	89.4727	38.3095 
0x50	16:14:10.499	-0.0669	-0.0405	0.9971	1.7090	1.7700	0.5493	-2.6367	3.4167	89.4946	38.3124 
0x50	16:14:10.548	-0.0537	-0.0576	1.0005	-0.6714	3.2349	0.9155	-2.6697	3.5156	89.5880	38.3095 
0x50	16:14:10.597	-0.0591	-0.0405	1.0161	0.3662	-0.3662	0.5493	-2.6422	3.4937	89.6155	38.3154 
0x50	16:14:10.646	-0.0532	-0.0430	1.0190	1.2817	1.9531	2.6245	-2.5928	3.5486	89.7198	38.3036 
0x50	16:14:10.679	-0.0542	-0.0645	1.0068	1.7090	2.0752	1.3428	-2.5269	3.6420	89.7858	38.3183 
0x50	16:14:10.728	-0.0356	-0.0405	1.0239	1.2817	-0.4272	1.7090	-2.4829	3.6584	89.8297	38.3242 
0x50	16:14:10.777	-0.0674	-0.0557	0.9873	0.0000	-1.7700	3.0518	-2.4884	3.5815	89.9890	38.3036 
0x50	16:14:10.826	-0.0771	-0.0381	1.0405	2.1973	1.1597	0.9766	-2.4225	3.6639	90.0220	38.3095 
0x50	16:14:10.875	-0.0498	-0.0547	0.9893	1.8921	-0.9766	4.0283	-2.3346	3.6090	90.2252	38.3065 
0x50	16:14:10.924	-0.0498	-0.0488	1.0005	0.8545	1.7090	0.3052	-2.2961	3.6804	90.2417	38.3007 
0x50	16:14:10.972	-0.0547	-0.0410	1.0190	0.0000	1.1597	0.0000	-2.2961	3.7244	90.2362	38.3065 
0x50	16:14:11.021	-0.0830	-0.0527	0.9912	0.7935	1.4648	1.0986	-2.2467	3.7463	90.3021	38.3036 
0x50	16:14:11.072	-0.0503	-0.0454	0.9912	1.0986	-1.2817	-0.9766	-2.2028	3.6639	90.2582	38.3065 
0x50	16:14:11.120	-0.0566	-0.0454	1.0273	-0.4883	3.1128	-2.8687	-2.2577	3.7738	90.1813	38.3007 
0x50	16:14:11.168	-0.0601	-0.0430	1.0117	0.4883	-2.1362	-1.0376	-2.2412	3.6584	90.1318	38.3065 
0x50	16:14:11.217	-0.0811	-0.0493	1.0220	2.3804	-2.1362	2.0142	-2.1588	3.5870	90.2417	38.3007 
0x50	16:14:11.266	-0.0591	-0.0469	0.9971	1.7090	0.6714	-1.7090	-2.0929	3.6090	90.1538	38.3036 
0x50	16:14:11.314	-0.0630	-0.0381	1.0259	2.0752	-1.4648	1.7700	-2.0105	3.6090	90.2417	38.2889 
0x50	16:14:11.364	-0.0645	-0.0400	0.9912	1.8311	-0.5493	1.6479	-1.9226	3.5870	90.3296	38.3124 
0x50	16:14:11.412	-0.0591	-0.0352	1.0093	0.1831	-0.9766	0.4883	-1.9061	3.5431	90.3735	38.2948 
0x50	16:14:11.462	-0.0571	-0.0386	1.0010	0.3662	0.0000	-0.5493	-1.8951	3.5321	90.3461	38.3007 
0x50	16:14:11.511	-0.0576	-0.0332	1.0176	0.0000	-0.3662	-0.7324	-1.9116	3.5156	90.3241	38.2889 
0x50	16:14:11.559	-0.0591	-0.0444	1.0029	0.3052	-2.3193	1.5869	-1.9061	3.4003	90.4065	38.2889 
0x50	16:14:11.609	-0.0381	-0.0342	1.0103	1.0986	0.3662	-1.6479	-1.8732	3.4277	90.3461	38.2889 
0x50	16:14:11.656	-0.0527	-0.0317	1.0195	1.5259	-3.2959	0.9766	-1.7908	3.2574	90.4010	38.2889 
0x50	16:14:11.705	-0.0542	-0.0396	1.0039	1.1597	-0.4272	-2.5635	-1.7413	3.1641	90.3516	38.2918 
0x50	16:14:11.754	-0.0405	-0.0386	0.9932	-0.1831	-1.2207	0.6104	-1.7578	3.0872	90.3845	38.2859 
0x50	16:14:11.852	-0.0703	-0.0317	1.0288	1.8921	-0.6104	-1.4648	-1.7139	3.0652	90.3131	38.2859 
0x50	16:14:11.900	-0.0698	-0.0420	0.9775	0.9766	-1.3428	2.7466	-1.6699	3.0267	90.4559	38.2918 
0x50	16:14:11.949	-0.0522	-0.0327	1.0073	-0.1831	0.3662	-1.0376	-1.6974	2.9993	90.4779	38.2801 
0x50	16:14:11.999	-0.0493	-0.0332	1.0137	0.0000	-1.6479	-0.6104	-1.7029	2.9114	90.4504	38.2889 
